kerb,indegree,outdegree
kWfya0mxoHSsAapQ,0,9
AN071IRX7E2Re1Yz,3,4
7OiJC3z5spMj1AfP,0,1
N6zYnqZlKenrZR7X,0,1
SKd0ZRCQoS9vTd64,0,10
mViiUM5sz7FyDrEh,0,7
c29gsvTNKjfDHqGz,0,3
xMFDqcB0XO9a3a4N,1,2
vY85bV92sj2Dg2QV,0,2
RRZKxazSFUhhFQeX,1,2
6tsxO0XT4EyNaFBM,1,2
gqiKjCc3zEIhaIvJ,1,6
lEy8Acl4r4gKdlFz,2,4
tBr6I5IXRBte7GID,0,1
lLxhoKBowI4NHEXB,4,1
yvbGqSrfhDSEfE4l,1,2
e4tTjx2hMYAGADQE,1,2
a4lrVOWjHPd4HUIM,5,8
cDLTlwUgxGy6EpoQ,0,4
3KN50OZeoWuM9HzD,5,2
MtKwhiuDzO6153S4,1,1
rrZNyv5NrMYTdxKS,1,1
PxOMfk972eCA9aNi,1,1
xiO040OTc9ejVzT7,0,10
9oQz1UpI3w2Hjgb2,1,4
camPpaIeI7TWIQ34,2,1
